Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2006,15.77969,157555304.32555,Basic service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2007,13.26231,282822120.11036,Basic service
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2007,15.86359,163203331.9681,Basic service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2008,13.42152,288452380.28798,Basic service
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2008,15.94819,168981009.967,Basic service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2009,13.57617,294069352.87908,Basic service
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2009,16.0319,174863637.54324,Basic service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2010,13.72811,299691378.72198,Basic service
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2010,16.11301,180822032.21696,Basic service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2011,19.22097,422852510.77119,Basic service
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2011,23.08063,241886768.26831,Basic service
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2011,15.70956,180965743.55222,Basic service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2012,19.10898,423759298.15387,Basic service
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2012,23.45042,242941258.03968,Basic service
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2012,15.30263,180818034.31637,Basic service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2013,18.98126,424269592.71638,Basic service
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2013,23.82579,243907301.5608,Basic service
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2013,14.88763,180362296.33542,Basic service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2014,18.8399,424300347.73856,Basic service
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2014,24.21056,244730068.99119,Basic service
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2014,14.46634,179570257.89955,Basic service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2015,18.68715,423890900.81212,Basic service
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2015,24.6076,245443219.64392,Basic service
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2015,14.04076,178447703.14888,Basic service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2016,18.52522,423120903.14702,Basic service
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2016,25.01896,246089032.81157,Basic service
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2016,13.61348,177031848.91841,Basic service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2017,18.34855,421929822.05394,Basic service
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2017,25.44093,246687163.08024,Basic service
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2017,13.17733,175242622.59458,Basic service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2018,18.17983,420508087.64799,Basic service
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2018,25.89969,247352479.94966,Basic service
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2018,12.75072,173155620.36662,Basic service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2019,18.00724,418538956.75856,Basic service
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2019,26.35759,247710956.13424,Basic service
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2019,12.33884,170827987.00185,Basic service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2020,17.8333,416112240.27394,Basic service
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2020,26.85402,248159007.9306,Basic service
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2020,11.918,167953196.85521,Basic service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2021,17.83931,417349399.00452,Basic service
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2021,27.78339,252182344.50231,Basic service
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2021,11.53546,165167054.62676,Basic service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2022,18.20984,426897915.02957,Basic service
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2022,28.95979,258075554.49843,Basic service
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2022,11.6175,168822387.46707,Basic service
sdg,Europe and Northern America,total,Drinking water,2000,6.64476,68944137.86496,Basic service
sdg,Europe and Northern America,rural,Drinking water,2000,16.34283,44917265.18424,Basic service
sdg,Europe and Northern America,urban,Drinking water,2000,3.20177,24420778.56713,Basic service
sdg,Europe and Northern America,total,Drinking water,2001,6.59537,68648297.13966,Basic service
sdg,Europe and Northern America,rural,Drinking water,2001,16.26902,44576053.78575,Basic service
sdg,Europe and Northern America,urban,Drinking water,2001,3.19085,24469478.921,Basic service
sdg,Europe and Northern America,total,Drinking water,2002,6.55438,68434903.90879,Basic service
sdg,Europe and Northern America,rural,Drinking water,2002,16.18912,44172561.47448,Basic service
sdg,Europe and Northern America,urban,Drinking water,2002,3.19885,24671348.24203,Basic service
sdg,Europe and Northern America,total,Drinking water,2003,6.51216,68225283.3819,Basic service
sdg,Europe and Northern America,rural,Drinking water,2003,16.10385,43751998.58975,Basic service
sdg,Europe and Northern America,urban,Drinking water,2003,3.2077,24890869.71435,Basic service
sdg,Europe and Northern America,total,Drinking water,2004,6.25594,65783320.63411,Basic service
sdg,Europe and Northern America,rural,Drinking water,2004,15.39544,41652887.28601,Basic service
sdg,Europe and Northern America,urban,Drinking water,2004,3.1484,24588421.44841,Basic service
sdg,Europe and Northern America,total,Drinking water,2005,5.98518,63175160.71831,Basic service
sdg,Europe and Northern America,rural,Drinking water,2005,14.42957,38875270.68818,Basic service
sdg,Europe and Northern America,urban,Drinking water,2005,3.09111,24299623.02783,Basic service
sdg,Europe and Northern America,total,Drinking water,2006,5.96456,63242180.42506,Basic service
sdg,Europe and Northern America,rural,Drinking water,2006,14.55249,39078136.09284,Basic service
sdg,Europe and Northern America,urban,Drinking water,2006,3.05188,24163783.33548,Basic service
sdg,Europe and Northern America,total,Drinking water,2007,5.15799,54940922.2417,Basic service
sdg,Europe and Northern America,rural,Drinking water,2007,11.60546,31053414.83414,Basic service
sdg,Europe and Northern America,urban,Drinking water,2007,2.99494,23887239.45725,Basic service
sdg,Europe and Northern America,total,Drinking water,2008,4.89879,52433639.91211,Basic service
sdg,Europe and Northern America,rural,Drinking water,2008,10.81489,28843754.34416,Basic service
sdg,Europe and Northern America,urban,Drinking water,2008,2.93725,23604713.89138,Basic service
sdg,Europe and Northern America,total,Drinking water,2009,4.66736,50182585.54486,Basic service
sdg,Europe and Northern America,rural,Drinking water,2009,10.12713,26913390.12974,Basic service
sdg,Europe and Northern America,urban,Drinking water,2009,2.87655,23283562.88997,Basic service
sdg,Europe and Northern America,total,Drinking water,2010,4.42119,47731149.74895,Basic service
sdg,Europe and Northern America,rural,Drinking water,2010,9.44216,24996797.5692,Basic service
sdg,Europe and Northern America,urban,Drinking water,2010,2.79164,22748040.79338,Basic service
sdg,Europe and Northern America,total,Drinking water,2011,4.17829,45290913.62483,Basic service
sdg,Europe and Northern America,rural,Drinking water,2011,8.76236,23102480.24118,Basic service
sdg,Europe and Northern America,urban,Drinking water,2011,2.70649,22201436.45087,Basic service
sdg,Europe and Northern America,total,Drinking water,2012,3.95604,43057802.64269,Basic service
sdg,Europe and Northern America,rural,Drinking water,2012,8.15846,21429615.20532,Basic service
sdg,Europe and Northern America,urban,Drinking water,2012,2.62076,21640616.074,Basic service
sdg,Europe and Northern America,total,Drinking water,2013,3.75802,41060596.11021,Basic service
sdg,Europe and Northern America,rural,Drinking water,2013,7.64039,19985720.97541,Basic service
sdg,Europe and Northern America,urban,Drinking water,2013,2.53744,21086997.95419,Basic service
sdg,Europe and Northern America,total,Drinking water,2014,3.68348,40394455.30704,Basic service
sdg,Europe and Northern America,rural,Drinking water,2014,7.53183,19615692.75433,Basic service
sdg,Europe and Northern America,urban,Drinking water,2014,2.48631,20790538.41629,Basic service
sdg,Europe and Northern America,total,Drinking water,2015,3.64764,40147735.62094,Basic service
